Trial-ID,Status,Iteration,decay,dense_units,dropout,learning_rate,lstm_units,Objective
5,INTERMEDIATE,4,0.007794575329327035,128,0.3227607327110159,0.004400222013118766,162,0.020729374140501022
5,COMPLETED,4,0.007794575329327035,128,0.3227607327110159,0.004400222013118766,162,0.020729374140501022
6,INTERMEDIATE,0,0.0002196218524768044,182,0.24282487265885327,0.0030031352501336287,171,0.014944675378501415
6,INTERMEDIATE,1,0.0002196218524768044,182,0.24282487265885327,0.0030031352501336287,171,0.013137517496943474
6,INTERMEDIATE,2,0.0002196218524768044,182,0.24282487265885327,0.0030031352501336287,171,0.01010124571621418
6,INTERMEDIATE,3,0.0002196218524768044,182,0.24282487265885327,0.0030031352501336287,171,0.010351291857659817
6,INTERMEDIATE,4,0.0002196218524768044,182,0.24282487265885327,0.0030031352501336287,171,0.009690220467746258
6,COMPLETED,4,0.0002196218524768044,182,0.24282487265885327,0.0030031352501336287,171,0.009690220467746258
7,INTERMEDIATE,0,3.345732125846831e-06,170,0.3796959799991753,0.0017482696586898466,87,0.015226040035486221
7,INTERMEDIATE,1,3.345732125846831e-06,170,0.3796959799991753,0.0017482696586898466,87,0.010913516394793987
7,INTERMEDIATE,2,3.345732125846831e-06,170,0.3796959799991753,0.0017482696586898466,87,0.011996976099908352
7,INTERMEDIATE,3,3.345732125846831e-06,170,0.3796959799991753,0.0017482696586898466,87,0.009810885414481163
7,INTERMEDIATE,4,3.345732125846831e-06,170,0.3796959799991753,0.0017482696586898466,87,0.009560411795973778
7,COMPLETED,4,3.345732125846831e-06,170,0.3796959799991753,0.0017482696586898466,87,0.009560411795973778
8,INTERMEDIATE,0,6.810991685230203e-07,91,0.4342592896238174,0.06290724350703959,196,
8,INTERMEDIATE,1,6.810991685230203e-07,91,0.4342592896238174,0.06290724350703959,196,
8,INTERMEDIATE,2,6.810991685230203e-07,91,0.4342592896238174,0.06290724350703959,196,
8,INTERMEDIATE,3,6.810991685230203e-07,91,0.4342592896238174,0.06290724350703959,196,
8,INTERMEDIATE,4,6.810991685230203e-07,91,0.4342592896238174,0.06290724350703959,196,
9,INTERMEDIATE,0,0.00022627984066490454,151,0.21759092443706646,0.00031732773666889955,94,0.017365125939249992
9,INTERMEDIATE,1,0.00022627984066490454,151,0.21759092443706646,0.00031732773666889955,94,0.012796439230442047
9,INTERMEDIATE,2,0.00022627984066490454,151,0.21759092443706646,0.00031732773666889955,94,0.01315372996032238
9,INTERMEDIATE,3,0.00022627984066490454,151,0.21759092443706646,0.00031732773666889955,94,0.011531869880855083
9,INTERMEDIATE,4,0.00022627984066490454,151,0.21759092443706646,0.00031732773666889955,94,0.00978920515626669
9,COMPLETED,4,0.00022627984066490454,151,0.21759092443706646,0.00031732773666889955,94,0.00978920515626669
10,INTERMEDIATE,0,2.778121574857105e-07,159,0.28098751518508575,0.0001226586929402872,176,0.021049313247203827
10,INTERMEDIATE,1,2.778121574857105e-07,159,0.28098751518508575,0.0001226586929402872,176,0.01641339808702469
10,INTERMEDIATE,2,2.778121574857105e-07,159,0.28098751518508575,0.0001226586929402872,176,0.01421700045466423
10,INTERMEDIATE,3,2.778121574857105e-07,159,0.28098751518508575,0.0001226586929402872,176,0.012835425324738026
10,INTERMEDIATE,4,2.778121574857105e-07,159,0.28098751518508575,0.0001226586929402872,176,0.011509116739034653
10,COMPLETED,4,2.778121574857105e-07,159,0.28098751518508575,0.0001226586929402872,176,0.011509116739034653
11,INTERMEDIATE,0,2.0885718377923846e-05,108,0.40718060228558145,0.0006548697455628682,167,0.017069661989808083
11,INTERMEDIATE,1,2.0885718377923846e-05,108,0.40718060228558145,0.0006548697455628682,167,0.01108928956091404
11,INTERMEDIATE,2,2.0885718377923846e-05,108,0.40718060228558145,0.0006548697455628682,167,0.0101974718272686
11,INTERMEDIATE,3,2.0885718377923846e-05,108,0.40718060228558145,0.0006548697455628682,167,0.010103303007781506
11,INTERMEDIATE,4,2.0885718377923846e-05,108,0.40718060228558145,0.0006548697455628682,167,0.00936136581003666
11,COMPLETED,4,2.0885718377923846e-05,108,0.40718060228558145,0.0006548697455628682,167,0.00936136581003666
12,INTERMEDIATE,0,7.846457653642549e-07,163,0.47741327155272745,0.05794970168496541,65,0.06281781196594238
12,INTERMEDIATE,1,7.846457653642549e-07,163,0.47741327155272745,0.05794970168496541,65,0.05460656061768532
12,INTERMEDIATE,2,7.846457653642549e-07,163,0.47741327155272745,0.05794970168496541,65,0.052228689193725586
12,INTERMEDIATE,3,7.846457653642549e-07,163,0.47741327155272745,0.05794970168496541,65,0.04799383506178856
12,INTERMEDIATE,4,7.846457653642549e-07,163,0.47741327155272745,0.05794970168496541,65,0.04503642022609711
12,COMPLETED,4,7.846457653642549e-07,163,0.47741327155272745,0.05794970168496541,65,0.04503642022609711
13,INTERMEDIATE,0,4.5181101531153697e-05,113,0.35850912368760907,0.00017178767832774002,94,0.026289550587534904
13,INTERMEDIATE,1,4.5181101531153697e-05,113,0.35850912368760907,0.00017178767832774002,94,0.019716819748282433
